source_group,method,id,score,source_file
Original GPT-4 logs,Original Standard,0,7.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,1,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,2,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,3,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,4,5.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,5,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,6,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,7,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,8,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,9,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,10,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,11,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,12,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,13,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,14,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,15,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,16,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,17,7.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,18,6.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,19,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,20,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,21,9.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,22,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,23,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,24,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,25,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,26,5.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,27,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,28,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,29,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,30,5.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,31,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,32,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,33,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,34,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,35,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,36,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,37,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,38,7.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,39,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,40,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,41,7.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,42,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,43,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,44,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,45,6.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,46,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,47,8.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,48,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,49,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,50,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,51,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,52,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,53,6.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,54,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,55,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,56,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,57,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,58,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,59,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,60,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,61,7.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,62,9.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,63,7.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,64,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,65,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,66,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,67,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,68,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,69,6.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,70,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,71,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,72,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,73,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,74,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,75,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,76,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,77,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,78,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,79,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,80,9.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,81,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,82,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,83,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,84,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,85,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,86,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,87,8.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,88,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,89,8.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,90,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,91,7.8,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,92,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,93,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,94,6.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,95,7.4,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,96,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,97,9.0,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,98,8.2,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original Standard,99,8.6,data/original_logs/gpt-4_1.0_naive_standard_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,0,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,1,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,2,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,3,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,4,6.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,5,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,6,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,7,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,8,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,9,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,10,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,11,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,12,9.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,13,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,14,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,15,7.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,16,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,17,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,18,7.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,19,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,20,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,21,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,22,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,23,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,24,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,25,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,26,7.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,27,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,28,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,29,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,30,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,31,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,32,7.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,33,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,34,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,35,7.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,36,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,37,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,38,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,39,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,40,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,41,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,42,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,43,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,44,7.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,45,6.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,46,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,47,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,48,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,49,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,50,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,51,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,52,9.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,53,6.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,54,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,55,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,56,7.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,57,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,58,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,59,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,60,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,61,6.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,62,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,63,7.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,64,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,65,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,66,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,67,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,68,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,69,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,70,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,71,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,72,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,73,7.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,74,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,75,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,76,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,77,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,78,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,79,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,80,9.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,81,8.2,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,82,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,83,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,84,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,85,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,86,7.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,87,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,88,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,89,8.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,90,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,91,7.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,92,6.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,93,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,94,9.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,95,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,96,8.0,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,97,8.6,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,98,7.8,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Original GPT-4 logs,Original CoT,99,8.4,data/original_logs/gpt-4_1.0_naive_cot_sample_10_start0_end100.json
Our Gemini runs,IO,49,6.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,20,5.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,80,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,79,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,19,5.333333333333333,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,50,7.666666666666667,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,51,8.333333333333334,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,22,6.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,21,6.666666666666667,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,52,3.6666666666666665,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,83,3.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,23,7.333333333333333,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,24,3.3333333333333335,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,82,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,84,5.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,54,6.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,53,6.333333333333333,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,25,8.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,81,4.0,results/runs/text_io_gem25_n100.jsonl
Our Gemini runs,IO,86,7.0,results/runs/text_io_gem25_n100.jsonl
